satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary,left
0.38,0.53,2,157,3,0,0,0,0,Yes
0.8,0.86,5,262,6,0,0,0,1,Yes
0.11,0.88,7,272,4,0,0,0,1,Yes
0.72,0.87,5,223,5,0,0,0,0,Yes
0.37,0.52,2,159,3,0,0,0,0,Yes
0.41,0.5,2,153,3,0,0,0,0,Yes
0.1,0.77,6,247,4,0,0,0,0,Yes
0.92,0.85,5,259,5,0,0,0,0,Yes
0.89,1,5,224,5,0,0,0,0,Yes
0.42,0.53,2,142,3,0,0,0,0,Yes
0.45,0.54,2,135,3,0,0,0,0,Yes
0.11,0.81,6,305,4,0,0,0,0,Yes
0.84,0.92,4,234,5,0,0,0,0,Yes
0.41,0.55,2,148,3,0,0,0,0,Yes
0.36,0.56,2,137,3,0,0,0,0,Yes
0.38,0.54,2,143,3,0,0,0,0,Yes
0.45,0.47,2,160,3,0,0,0,0,Yes
0.78,0.99,4,255,6,0,0,0,0,Yes
0.45,0.51,2,160,3,1,1,0,0,Yes
0.76,0.89,5,262,5,0,0,0,0,Yes
0.11,0.83,6,282,4,0,0,0,0,Yes
0.38,0.55,2,147,3,0,0,0,0,Yes
0.09,0.95,6,304,4,0,0,0,0,Yes
0.46,0.57,2,139,3,0,0,0,0,Yes
0.4,0.53,2,158,3,0,0,0,0,Yes
0.89,0.92,5,242,5,0,0,0,0,Yes
0.82,0.87,4,239,5,0,0,0,0,Yes
0.4,0.49,2,135,3,0,0,0,0,Yes
0.41,0.46,2,128,3,0,0,1,0,Yes
0.38,0.5,2,132,3,0,0,1,0,Yes
0.09,0.62,6,294,4,0,0,1,0,Yes
0.45,0.57,2,134,3,0,0,2,0,Yes
0.4,0.51,2,145,3,0,0,2,0,Yes
0.45,0.55,2,140,3,0,0,2,0,Yes
0.84,0.87,4,246,6,0,0,2,0,Yes
0.1,0.94,6,255,4,0,0,3,0,Yes
0.38,0.46,2,137,3,0,0,3,0,Yes
0.45,0.5,2,126,3,0,0,3,0,Yes
0.11,0.89,6,306,4,0,0,3,0,Yes
0.41,0.54,2,152,3,0,0,3,0,Yes
0.87,0.88,5,269,5,0,0,3,0,Yes
0.45,0.48,2,158,3,0,0,3,0,Yes
0.4,0.46,2,127,3,0,0,3,0,Yes
0.1,0.8,7,281,4,0,0,3,0,Yes
0.09,0.89,6,276,4,0,0,3,0,Yes
0.84,0.74,3,182,4,0,0,3,0,Yes
0.4,0.55,2,147,3,0,0,4,0,Yes
0.57,0.7,3,273,6,0,0,4,0,Yes
0.4,0.54,2,148,3,0,0,4,0,Yes
0.58,0.74,4,215,3,0,0,0,0,No
0.82,0.67,2,202,3,0,0,0,0,No
0.45,0.69,5,193,3,0,0,0,0,No
0.78,0.82,5,247,3,0,0,0,0,No
0.49,0.6,3,214,2,0,0,0,0,No
0.36,0.95,3,206,4,0,0,0,0,No
0.54,0.37,2,176,2,0,0,0,0,No
0.99,0.91,5,136,4,0,0,0,0,No
0.5,0.75,6,127,3,0,0,0,0,No
0.74,0.64,4,268,3,0,0,0,0,No
0.56,0.58,4,258,3,0,0,0,1,No
0.34,0.39,2,136,3,0,0,0,1,No
0.48,0.94,5,255,6,0,0,1,1,No
0.73,0.62,3,218,3,0,0,1,1,No
0.59,0.87,3,268,4,0,0,1,1,No
0.81,0.57,3,224,2,0,0,2,1,No
0.9,0.66,3,231,3,0,0,2,1,No
0.41,0.84,6,191,6,0,0,2,1,No
0.89,0.92,4,165,5,0,0,2,1,No
0.48,0.84,4,252,3,0,0,3,1,No
0.79,0.97,5,266,2,0,0,3,1,No
0.98,0.66,5,248,3,0,0,3,1,No
0.75,0.7,4,144,4,0,0,3,2,No
0.66,0.57,5,161,5,0,0,3,2,Yes
0.45,0.54,2,129,3,0,0,7,2,Yes
0.39,0.55,2,159,3,0,0,3,2,Yes
0.45,0.57,2,148,3,0,0,7,2,Yes
0.43,0.55,2,130,3,0,0,4,2,Yes
0.1,0.81,7,291,4,0,0,0,2,Yes
0.83,0.99,5,258,5,0,0,4,2,Yes
0.38,0.5,2,152,3,0,0,0,2,Yes
0.15,0.55,6,139,4,0,0,4,2,Yes
0.45,0.49,2,149,3,0,0,8,2,Yes
0.74,0.58,4,148,2,0,0,8,1,No
0.52,0.83,4,210,2,0,0,8,1,No
0.56,0.76,3,213,2,1,0,8,1,No
0.76,0.68,4,189,2,1,0,6,1,No
0.74,0.58,4,148,2,0,0,8,1,No
0.52,0.83,4,210,2,0,0,8,1,No
0.56,0.76,3,213,2,1,0,8,1,No
0.76,0.68,4,189,2,1,0,6,1,No
0.76,0.71,6,168,2,0,0,3,2,No
0.75,0.64,3,195,3,0,0,0,2,No
0.91,0.52,4,172,4,1,0,5,2,No
0.97,0.66,4,218,3,0,0,0,2,No
0.61,0.59,3,157,2,0,0,0,2,No
0.77,0.73,5,263,2,0,0,1,2,No
0.77,0.83,5,197,4,0,0,5,2,No
0.61,0.5,3,231,3,0,0,6,2,No
0.18,0.85,5,192,3,0,0,8,2,No
