sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
1045918,0,2,0,0,0,0,0,0,0,0,0,0,0,0.91,0.82,0,0,0,0,1,0,No
1049468,11,8,0,0,0,0,0,0,0,0,0,0,0,0.82,0.78,0,0,0,0,1,0,No
1050390,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0.98,0,0,0,0,1,0,No
1050440,169,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,No
1050856,147,8,0,0,0,0,0,0,0,0,0,0,0,-99,1,0,0,0,1,1,0,No
1051516,82,8,0,0,0,0,0,0,0,0,0,0,0,-99,1,0,0,0,0,1,0,No
1051715,4,2,0,0,0,0,0,0,1,1,0,0,0,-99,-99,0,0,0,0,1,0,No
1977082,0,8,0,0,0,0,0,0,0,0,0,0,0,0.66,0.69,0,0,0,1,0,1,No
1977083,250,12,0,0,0,0,40,65,143,198,0,0,0,0.95,0.86,0,0,0,0,1,0,No
1977084,10,8,0,0,0,0,2,4,12,17,0,0,0,0.31,0.41,0,0,0,0,1,0,No
1977085,126,8,19,271,529,792,76,285,655,1063,71,0,2,0.79,0.66,0,0,0,0,1,0,No
1977086,23,10,0,10,20,32,10,20,32,57,0,0,0,0.8,0.77,0,0,0,0,1,0,No
1977087,46,8,0,0,0,0,5,9,18,27,2,0,0,1,0.98,0,0,0,0,1,0,No
1977088,400,12,0,0,0,0,0,0,0,0,0,0,0,0.95,0.86,0,0,0,0,1,0,No
1977089,9,8,0,4,12,16,5,15,15,15,6,0,0,0.84,0.86,0,0,0,1,1,0,No
1113122,0,10,2,0,0,1,0,0,2,2,0,0,0,0.89,0.9,0,0,0,0,1,0,Yes
1113199,0,12,1,4,7,10,1,3,5,8,0,0,0,0.82,0.79,0,0,0,0,1,0,Yes
1113222,57,8,0,576,768,960,61,184,519,589,101,0,0,0,0,3,0,0,0,1,0,Yes
1113268,0,8,0,2,3,4,1,2,3,3,0,0,0,0.96,0.97,0,0,0,0,1,0,Yes
1113366,2,8,0,38,55,89,12,41,75,98,1,0,0,0.99,0.99,0,0,0,1,1,0,Yes
1113480,5,8,0,15,30,44,6,15,47,61,4,0,0,0.5,0.63,0,1,0,0,1,0,Yes
1113651,0,8,0,3,4,6,2,3,4,5,0,0,0,0.77,0.78,0,0,0,0,1,0,Yes
