Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
298.9,309.1,2861,4.6,143,1
298.9,309,1410,65.7,191,1
298.8,308.9,1455,41.3,208,1
298.4,308.2,1282,60.7,216,1
298.3,308.1,1412,52.3,218,1
298.4,308.3,1433,62.3,20,1
298.2,308.5,2678,10.7,86,1
298.4,308.7,1421,60.7,119,1
298,308.2,1348,58.8,202,1
298,308.3,1362,56.8,216,1
298,308.3,1405,56.2,218,1
298.1,308.2,1420,63.9,19,1
297.7,308.5,1373,56.7,203,1
297.5,308.3,2564,12.8,127,1
297.4,308.5,1399,61.5,61,1
297.4,308.7,2874,4.2,118,1
297.6,309.6,1501,49.8,222,1
297.9,309.8,1336,71.6,31,1
296.8,308.1,1289,62,199,1
296.4,307.4,2833,5.6,213,1
295.8,306.3,1235,76.2,89,1
295.7,306.2,2270,14.6,149,1
295.6,306.1,1372,55.6,215,1
296.3,307.2,1319,68.3,24,1
297,307.8,1385,56.4,202,1
296.9,307.8,1549,35.8,206,1
296.9,307.5,2721,9.3,18,1
296.6,307.7,1386,62.3,100,1
296.7,307.8,1258,69,105,1
298.2,308.7,1408,46.3,3,0
298.1,308.5,1498,49.4,5,0
298.2,308.6,1433,39.5,7,0
298.2,308.7,1408,40,9,0
298.1,308.6,1425,41.9,11,0
298.1,308.6,1558,42.4,14,0
298.1,308.6,1527,40.2,16,0
298.3,308.7,1667,28.6,18,0
298.5,309,1741,28,21,0
298.4,308.9,1782,23.9,24,0
298.6,309.1,1423,44.3,29,0
298.6,309.1,1339,51.1,34,0
298.6,309.2,1742,30,37,0
298.6,309.2,2035,19.6,40,0
298.6,309.2,1542,48.4,42,0
298.6,309.2,1311,46.6,44,0
298.7,309.2,1410,45.6,47,0
298.8,309.2,1306,54.5,50,0
298.9,309.3,1632,32.5,55,0
298.9,309.3,1375,42.7,58,0
298.8,309.3,1450,44.8,63,0
298.9,309.3,1581,30.7,65,0
299,309.4,1758,25.7,68,0
299,309.4,1561,37.3,70,0
299,309.5,1861,23.3,73,0
299.1,309.5,1512,39,75,0
299.1,309.4,1811,24.6,77,0
299.1,309.4,1439,44.2,82,0
299,309.4,1693,30.1,84,0
299.1,309.5,1339,48.2,86,0
